# newdoc id = f-6VWP66LZ
# question 0-1 = How many actions does it take to process the minced meat?
# answer 0-1 = 1
# question 13-0 = What do you serve the vegetables and minced meat casserole with?
# answer 13-0 = with cooked rice or something similar ( couscous , mashed potatoes )
# question 18-0 = What's in the ingred mix?
# answer 18-0 = N/A
# question 2-1 = How do you cut the carrots and zucchini?
# answer 2-1 = by using a knife
# question 1-0 = What should be served?
# answer 1-0 = the cooked rice and vegetables and minced meat casserole
# question 2-2 = Where should you add the chopped vegetables?
# answer 2-2 = pan
# question 18-1 = Cooking the ingredient over a low heat until the water is absorbed and putting all the ingredients into a large saucepan, which comes first?
# answer 18-1 = N/A
# question 6-0 = How do you saute onion?
# answer 6-0 = saute onion in 2 tablespoons of olive oil
# question 0-2 = How many spatulas are used?
# answer 0-2 = 1
# question 4-5 = Cutting the stem into bite - size pieces into bite - size pieces and sauting minced meat in a separate pan, which comes first?
# answer 4-5 = the first event
# question 3-3 = How did you get the cooked vegetable?
# answer 3-3 = by adding the chopped vegetables to the pan
# question 3-0 = What's in the vegetables and minced meat casserole?
# answer 3-0 = the meat
# question 5-0 = To what extent do you cut carrots and zucchini?
# answer 5-0 = into cubes
# question 2-3 = Where should you saute the onion?
# answer 2-3 = pan
# question 3-4 = How did you get the chopped vegetable?
# answer 3-4 = by cutting the broccoli and stem with the knife
# question 12-0 = Where do you add the tinned tomatoes?
# answer 12-0 = to the cooked vegetables
# question 4-2 = Sauting minced meat in a separate pan and cutting carrots and zucchini into cubes, which comes first?
# answer 4-2 = the second event
# question 8-1 = Where do you saute minced meat?
# answer 8-1 = in a separate pan
# question 2-0 = How do you cut the broccoli and stem?
# answer 2-0 = by using a knife
# question 4-1 = Transferring the meat into the pan with the vegetables and adding chopped vegetables, which comes first?
# answer 4-1 = the second event
# question 4-0 = Transferring the meat into the pan with the vegetables and seasoning the meat, which comes first?
# answer 4-0 = the first event
# question 3-1 = What's in the cooked vegetable?
# answer 3-1 = the chopped vegetables
# question 3-2 = What's in the chopped vegetable?
# answer 3-2 = the broccoli and stem
# question 4-4 = Cutting carrots and zucchini into cubes and adding the tinned tomatoes, which comes first?
# answer 4-4 = the first event
# question 8-0 = Where do you transfer the meat?
# answer 8-0 = into the pan with the vegetables
# question 0-0 = How many actions does it take to process the mashed potato?
# answer 0-0 = 1
# question 4-3 = Combining all ingredients and transferring the meat into the pan with the vegetables, which comes first?
# answer 4-3 = the second event
# metadata:url = https://foodista.com/recipe/6VWP66LZ/vegetables-and-minced-meat-casserole
# metadata:num_steps = 6
# metadata:avg_len_steps = 16
# metadata:num_ingres = 9
# metadata:cluster = old
# newpar id = f-6VWP66LZ::ingredients
# sent_id = f-6VWP66LZ::ingredients::sent01
# text = 500g broccoli
1	500g	500g	NUM	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
2	broccoli	broccoli	NOUN	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_

# sent_id = f-6VWP66LZ::ingredients::sent02
# text = 300g carrots
1	300g	300g	NUM	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
2	carrots	carrot	NOUN	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_

# sent_id = f-6VWP66LZ::ingredients::sent03
# text = 300g zucchini
1	300g	300g	NUM	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
2	zucchini	zucchini	NOUN	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_

# sent_id = f-6VWP66LZ::ingredients::sent04
# text = 1 onion, chopped
1	1	1	NUM	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
2	onion	onion	NOUN	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
3	,	,	PUNCT	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
4	chopped	chop	VERB	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_

# sent_id = f-6VWP66LZ::ingredients::sent05
# text = 3 tbs olive oil (2 + 1)
1	3	3	NUM	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
2	tbs	tbs	NOUN	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
3	olive	olive	NOUN	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
4	oil	oil	NOUN	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
5	(	(	PUNCT	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
6	2	2	NUM	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
7	+	+	SYM	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
8	1	1	NUM	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
9	)	)	PUNCT	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_

# sent_id = f-6VWP66LZ::ingredients::sent06
# text = 400 g ground beef
1	400	400	NUM	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
2	g	gram	NOUN	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
3	ground	ground	NOUN	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
4	beef	beef	NOUN	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_

# sent_id = f-6VWP66LZ::ingredients::sent07
# text = 1 can whole peeled tomatoes
1	1	1	NUM	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
2	can	can	AUX	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
3	whole	whole	ADJ	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
4	peeled	peel	VERB	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
5	tomatoes	tomato	NOUN	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_

# sent_id = f-6VWP66LZ::ingredients::sent08
# text = 1/2 tsp sea salt
1	1/2	1/2	NUM	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
2	tsp	tsp	NOUN	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
3	sea	sea	NOUN	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
4	salt	salt	NOUN	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_

# sent_id = f-6VWP66LZ::ingredients::sent09
# text = 1/2 tsp pepper
1	1/2	1/2	NUM	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
2	tsp	tsp	NOUN	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
3	pepper	pepper	NOUN	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_

# newpar id = f-6VWP66LZ::step01
# sent_id = f-6VWP66LZ::step01::sent01
# text = Cut the broccoli into flowerets and the stem into bite-size pieces; cut carrots and zucchini into cubes.
1	Cut	cut	VERB	B-EVENT	_	_	Result=chopped_vegetables.1.1.1|Tool=knife.1.1.1	_	CUT	B-V	_	_	_	_	_	_	_	_	_
2	the	the	DET	O	_	_	_	_	_	B-Patient	_	_	_	_	_	_	_	_	_
3	broccoli	broccoli	NOUN	B-EXPLICITINGREDIENT	1	_	_	broccoli.1.1.3	_	I-Patient	_	_	_	_	_	_	_	_	_
4	into	into	ADP	O	_	_	_	_	_	B-Result	_	_	_	_	_	_	_	_	_
5	flowerets	floweret	NOUN	B-IMPLICITINGREDIENT	_	_	_	chopped_vegetables.1.1.1	_	I-Result	_	_	_	_	_	_	_	_	_
6	and	and	CCONJ	O	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_
7	the	the	DET	O	_	_	_	_	_	B-Patient	_	_	_	_	_	_	_	_	_
8	stem	stem	NOUN	B-IMPLICITINGREDIENT	1	_	_	broccoli.1.1.3	_	I-Patient	_	_	_	_	_	_	_	_	_
